pid,import-index,parent,cmodel,seq,title,dc,tn-link,abstract,tn-from-zip,sort
grinnell:scholarship,1,islandora:root,islandora:collectionCModel,1,"Scholarship at Grinnell",Link,https://digital.grinnell.edu/islandora/object/grinnell:scholarship/datastream/TN/download,"Publications, research papers and posters, performance programs, and other materials that document the scholarly and creative accomplishments of Grinnell College's students, faculty and staff, as well as syllabi, handouts, and related materials created by Grinnell College faculty for courses at Grinnell.",scholarship.png,1
grinnell:special-collections,2,islandora:root,islandora:collectionCModel,1,"Grinnell College Libraries Special Collections and Archives",https://digital.grinnell.edu/islandora/object/grinnell:special-collections/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:special-collections/datastream/TN/download,"Digitized copies of materials housed in Grinnell College's Special Collections and Archives, including photographs, letters, and documents.",special-collections.png,2
grinnell:campus-collections,3,islandora:root,islandora:collectionCModel,1,"Grinnell College Campus Collections",https://digital.grinnell.edu/islandora/object/grinnell:campus-collections/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:campus-collections/datastream/TN/download,"Primary source materials from collections across campus.",campus-collections.png,3
grinnell:social-justice,4,islandora:root,islandora:collectionCModel,1,"Social Justice at Grinnell",https://digital.grinnell.edu/islandora/object/grinnell:social-justice/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:social-justice/datastream/TN/download,"Since its very earliest days, the faculty, students and staff of Grinnell College have been committed to the cause of social justice, a tradition that can be traced backed to the abolitionist views of the College's founders. Grinnell College has been a stop on Underground Railroad, a center of the Social Gospel Movement and a key contributor of leaders to Roosevelt's New Deal. Today, this spirit of service is alive and well, with organizations like the Voicebox working to coordinate the wide variety of student groups struggling for social equality.",social-justice.png,4
grinnell:faulconer,5,islandora:root,islandora:collectionCModel,1,"Faulconer Art",https://digital.grinnell.edu/islandora/object/grinnell:faulconer/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:faulconer/datastream/TN/download,"The Faulconer Gallery, Grinnell College Art Collection includes over 4000 works of art, featuring works on paper (prints, drawings, and photographs), many in portfolios. The collection spans Medieval to contemporary art, with a strength in 20th and 21st-century European and American art. The collection also includes paintings, sculptures, and ceramics, along with small holdings of African, Pueblo, Seri, and Near Eastern material.  Faulconer Gallery in the Bucksbaum Center for the Arts serves as the College's art museum, presenting changing exhibitions and providing a separate print room in Burling Library for study of the collection.",faulconer.png,5
grinnell:phpp,6,islandora:root,islandora:collectionCModel,1,"Poweshiek History Preservation Project",https://digital.grinnell.edu/islandora/object/grinnell:phpp/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:phpp/datastream/TN/download,"A digital archive of the Poweshiek County area that includes materials contributed by individuals, items from the Drake Community Library archives, and items from area historical museums. PHPP is managed by staff of Drake Community Library, the public library for Grinnell.",phpp.png,6
grinnell:alumni-oral-histories,7,islandora:root,islandora:collectionCModel,1,"Alumni Oral Histories",https://digital.grinnell.edu/islandora/object/grinnell:alumni-oral-histories/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:alumni-oral-histories/datastream/TN/download,"The Alumni Oral History Project aims to better understand and share the history of Grinnell College by recording and preserving oral histories with members of the Grinnell College alumni community. This collection of oral histories was recorded between 2009 and the present as part of the annual alumni Reunion weekend event.",alumni-oral-histories.png,7
grinnell:digital-stories-social-justice,8,islandora:root,islandora:collectionCModel,1,"Digital Stories for Social Justice",https://digital.grinnell.edu/islandora/object/grinnell:digital-stories-social-justice/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:digital-stories-social-justice/datastream/TN/download,"Storytelling has always been an important part of social justice work. Grinnell students and faculty share their projects using Digital Humanities methods for social justice work. Mothers on the Frontline, a non-profit organization co-founded by a Grinnell Faculty member, uses digital storytelling for children's mental health advocacy and caregiver healing. The School-to-Prison Pipeline collection gathers stories of those impacted by these unjust practices and policies. Students from the 'Digital Stories For Social Justice' and 'Mental Health Policy and Advocacy' courses make data stories personal through info graphics, videos, and podcasts to bring about positive policy change.",digital-stories-social-justice.png,8
grinnell:pending-review,9,islandora:root,islandora:collectionCModel,1,"Pending Review (Administrative)",https://digital.grinnell.edu/islandora/object/grinnell:pending-review/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:pending-review/datastream/TN/download,"Objects in this collection are in a 'pending review' state.  Please contact digital@grinnel.edu for assistance if needed.",pending-review.png,9
grinnell:generic,10,islandora:root,islandora:collectionCModel,1,"Digital Grinnell IR",https://digital.grinnell.edu/islandora/object/grinnell:generic/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:generic/datastream/TN/download,"The Digital Grinnell IR (Institutional Repository) hosts a wide and growing variety of materials created by or about Grinnell College students, faculty, and staff; as well as selected material which illuminates the history of the College and the region.",generic.png,10
grinnell:archives-suppressed,11,islandora:root,islandora:collectionCModel,1,Archives,https://digital.grinnell.edu/islandora/object/grinnell:archives-suppressed/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:archives-suppressed/datastream/TN/download,"The Archives Collection holds archival copies of content which are not intended for public use. Archives content will be visible only to administrators of the repository. This content may be indexed and searched only to assist with collection maintenance.",archives-suppressed.png,11
grinnell:gwcc,12,3,islandora:collectionCModel,1,"George Washington Cook Correspondence, 1857-1860",https://digital.grinnell.edu/islandora/object/grinnell:gwcc/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:gwcc/datastream/TN/download,"Correspondence between a Grinnell citizen, George Washington Cook, and family and acquaintances between 1857 and 1860.",gwcc.png,201
grinnell:postcards,13,3,islandora:collectionCModel,1,"Historic Iowa Postcards",https://digital.grinnell.edu/islandora/object/grinnell:postcards/datastream/DC/download,https://digital.grinnell.edu/islandora/object/grinnell:postcards/datastream/TN/download,"Grinnell College Libraries' Historic Iowa Postcard Collection. A collection of postcards from 1900 through the middle of the 20th century, covering all parts of Iowa.",postcards.png,202
